Key	S_bandwidth	S_DOS	S_total
mp-bfbig	0.83261517732718	0.7298625219857131	0.9873082093783612
mp-ngb	0.7976919198541761	0.7169201597162781	0.98224648253355
mp-qgj	0.5334852405144921	0.8870161810502891	0.9567045585000892
mp-bpidi	0.7033683215378981	0.6708312757389371	0.9557754041730712
mp-brcau	0.9254972408973452	0.8345864266364471	0.997573117633378
mp-dawhr	0.8365062567548881	0.91511801033735	0.9973799737382516
mp-bfkcw	0.743167690211745	0.829809609821027	0.9883392107985572
mp-crifj	0.759461230263987	0.8545059912039881	0.9914347772256932
mp-bgg	0.607538118508553	0.918780223532708	0.97999233817334
mp-mhh	0.8505790964837701	0.901568367561535	0.9974172257477208
mp-ckvnu	0.6757574402790241	0.70374716170253	0.9572223227175776
mp-bijo	0.661463251250328	0.7653379571463	0.967581591072718
mp-lle	0.9373944421667252	0.722906772553199	0.9935473026425152
mp-bexel	0.642509631234987	0.7753790793187011	0.9651490645754188
mp-biim	0.909074858712512	0.763866674536206	0.994520134723032
mp-bfuo	0.9252220268494332	0.960949031966992	0.999515776260811
mp-cpmnx	0.8579682415109141	0.907214004897355	0.9977274147684884
mp-biwsw	0.739039396794095	0.831310516824574	0.9880817914196276
mp-bfkfm	0.9445485210093012	0.8670043441177431	0.9985968124823577
mp-clfoe	0.9870275120854052	0.831782461269978	0.9986378858299624
mp-bhqq	0.8666276731112811	0.937757933471458	0.9984828543405452
mp-bfuah	0.776695774621672	0.6027911292033671	0.954413697247012
mp-bfrue	0.764367324773065	0.860777987059632	0.9921477949942412
mp-cpnos	0.9926444148540392	0.892143133266398	0.999483857033838
mp-bfulm	0.8892311507835111	0.677264263276793	0.9866811944266848
mp-bfwbn	0.64752053396414	0.766211780034149	0.9644870613954746
mp-bcssf	0.689405074438011	0.8750417897600371	0.9867954254617533
mp-bkqos	0.70145321785683	0.8173037511971011	0.9824899359655416
mp-cppyc	0.976805963260488	0.8252465264808391	0.9983610945195268
mp-bjoql	0.978508149644152	0.5115214298595381	0.9663315932962852
mp-bmlqs	0.8290820074713381	0.65260865554376	0.9764483525093608
mp-bolo	0.8740148994516911	0.7633723810274241	0.9928256335196228
mp-edh	0.9469207120756312	0.8354283672100951	0.9980381644057316
mp-bseqj	0.9004702104214831	0.545122667731757	0.9630588752757818
mp-ckitq	0.719499258262964	0.867981829380812	0.9891891889555706
mp-cbda	0.7143098918875641	0.71032303496171	0.9678883739887804
mp-cjldw	0.844556904193674	0.8396341657355201	0.9952610195568926
mp-clfzh	0.844936142691579	0.7776953285618481	0.9920789905344686
mp-bsjo	0.930104244111377	0.7149845256623281	0.9926967939568758
mp-sju	0.8341760100838961	0.7451803184144431	0.988871726940304
mp-bgst	0.8802029828000151	0.752707019643664	0.9924952921166575
mp-ckisb	0.7656992897590421	0.759925352765437	0.9838141532143536
mp-bcsoq	0.660471804903604	0.69615373222744	0.9507605607284596
mp-cesua	0.647020162616151	0.855574950472551	0.9790323663451864
mp-bepy	0.730254831386496	0.862836628401294	0.9897442579923614
mp-brfc	0.95483576932461	0.8772299086634391	0.9989011573418358
mp-bjyi	0.857602486741144	0.8684612456511881	0.9967225649172388
mp-bkqfp	0.948783190112398	0.69879659626509	0.9925647453376988
mp-bsiv	0.6440145680073851	0.8792024352163741	0.9813661135198412
mp-cizyb	0.613155655943044	0.9450740305047092	0.9835996229855852
mp-bmjuq	0.9196202263261912	0.9170313510029532	0.9989829375629428
mp-cqqrm	0.970794077947514	0.90305608157463	0.999393025313625
mp-cfyzf	0.812621328167853	0.9153455128892992	0.996693694011539
mp-bjkz	0.8278977728425171	0.73829779279548	0.9877224854291072
mp-crvtx	0.792620377012754	0.7927558902216361	0.9895548559118512
mp-ckvov	0.9126553293464992	0.688015859536646	0.9895625070100604
mp-dbgiq	0.959910748660868	0.8083505891319731	0.997672368508284
mp-cprah	0.787502626021639	0.7836031956093911	0.9883750059699834
mp-crpqu	0.640500863532626	0.9073523723518552	0.983806071509631
mp-bmlra	0.879522049013237	0.7446417108330291	0.9919220452908192
mp-blhdt	0.96391812694946	0.769863810614781	0.9966443699488108
mp-cjmrf	0.996864474309984	0.516592715318974	0.9704936461195308
mp-bpifp	0.678695055045156	0.8006940373422301	0.9769225123448926
mp-bhqa	0.98738059709561	0.787949405396358	0.99773150364809
mp-bdft	0.855031245528961	0.938606885192034	0.9982842617813448
mp-bjlbg	0.999854978657378	0.746915589760301	0.9968190772163252
mp-bjrgl	0.615194713338295	0.7511734830076561	0.9518364900795052
mp-clgxk	0.9199047085146412	0.8264657636343641	0.9972270241660326
mp-bfbdu	0.8842534586095381	0.902659733959817	0.9981908458171028
mp-khb	0.7376585624113431	0.669550416583028	0.9637341111603548
mp-evx	0.819115259837717	0.696498959335026	0.9820329695700776
mp-bpwbq	0.8701677331788891	0.758382107625115	0.99229901520238
mp-bpwcb	0.9246702001316572	0.551942762661224	0.969063003661652
mp-bqifm	0.9014087375955572	0.637794397882476	0.9828324936310958
mp-bqvmj	0.79049355012623	0.7475414339407661	0.9851297090689888
mp-bpvdx	0.885923284779017	0.818320027430635	0.99597130532511
mp-bpwee	0.985441977909365	0.660219936161895	0.991647374609167
mp-bpxkw	0.988855003254105	0.7323354633627691	0.9959685939082188
mp-bqaij	0.771440667121257	0.8393310243173281	0.9913085743728288
mp-bqarx	0.981861839145004	0.7569482644171871	0.9966898658143468
mp-bqdst	0.7413355379962231	0.807959185310079	0.9862135329264968
mp-bqdug	0.866983494776674	0.721300204133923	0.98927471858102
mp-bqebi	0.9363758644725112	0.581418734422619	0.9773278982989438
mp-bqhzd	0.979409867434096	0.692215657789312	0.9935910129252516
mp-bqiat	0.826710301995052	0.6469465283711491	0.9750652118279768
mp-bqiob	0.991911282122916	0.90082142661319	0.99955791655865
mp-bqisq	0.9421275801880352	0.8112982040182991	0.997350889451432
mp-bqjlm	0.84758019752622	0.74094490281906	0.9895324169057697
mp-bqkid	0.7670286324002941	0.6335099382093491	0.9610732672518532
mp-bqmow	0.8915212816511521	0.7799288789134851	0.994564346132161
mp-bqvas	0.953961919811414	0.781725331464395	0.996768201306934
mp-bqvjz	0.988855003254105	0.545180414919995	0.9762977152194404
mp-bqvli	0.883246503404675	0.73738123351726	0.9916353736718828
mp-bqvmg	0.8740148994516901	0.6974390061841741	0.9875551455140952
mp-bqvpf	0.955052985342497	0.684947999601724	0.9919056753615184
mp-bqvpi	0.873667200183142	0.5617165185412211	0.9629499227084498
mp-bqvqh	0.9836338763879372	0.77802389783571	0.9973876963897612
mp-ldr	0.930104244111378	0.7981197768871131	0.9966441937973942
mp-bqwct	0.9567727288213	0.706307438138254	0.9934385589677625
mp-bqwli	0.9111713534898912	0.5941599414590021	0.9766416867619232
mp-bqwtm	0.99408745955514	0.719300537153262	0.9955775743630771
mp-bqwyc	0.6864938912879031	0.8126814049090081	0.979807108074768
mp-bqxei	0.9605247597820452	0.799255674840545	0.9974502135413288
mp-bqxgh	0.7468191627553751	0.7473947117560941	0.9798287830673442
mp-bqxgt	0.7866452317038161	0.7080610040265111	0.9796195677092626
mp-bqxih	0.941145613217476	0.7428650503649791	0.9947843380768724
mp-bqxme	0.651517634816386	0.734593396522715	0.958391949061154
mp-bqxmj	0.918477699049369	0.6183082352231081	0.9817053118207578
mp-bqxqd	0.872621645273523	0.7930767863031021	0.99438037045685
mp-bqxtv	0.7762595064441541	0.709563937965033	0.978418659309992
mp-bqxvs	0.7024112136346701	0.7124056612796861	0.9657900535026044
mp-bqxxd	0.6374831007188321	0.727605525631518	0.9525283371843514
mp-bqxyy	0.841126804554698	0.666066037357666	0.9802652981839982
mp-bqyhp	0.971320745546089	0.7068356159054701	0.9941063157001614
mp-bqzpk	0.659479654649035	0.7154139573438351	0.9557669147694764
mp-bqzzj	0.8995277307681091	0.7629389657734631	0.9940572706824766
mp-bradd	0.7495464131639921	0.680028952400747	0.9685707987650158
mp-brahd	0.725594542220922	0.775526901054676	0.9806644541188736
mp-braib	0.7549712517076771	0.726524942191034	0.9779492826380306
mp-brajs	0.970617489257203	0.6461226675757781	0.9895346207985276
mp-bralg	0.7692383404133301	0.6627860273288171	0.968624067845018
mp-bralt	0.929301107140129	0.7857544259208851	0.9961914441662704
mp-brave	0.974050951842016	0.707282601021054	0.994243930512738
mp-brbfk	0.986669620310276	0.6926343573476941	0.9939287143485844
mp-brbia	0.846826652906402	0.6457724372982051	0.9776870912190327
mp-brbmc	0.965272722178762	0.47391767559497	0.950498983398234
mp-brbun	0.8705195129341671	0.8212595502394411	0.9955334543273712
mp-brbur	0.7749488861124191	0.764009701729992	0.9852854953547824
mp-brbux	0.9440682244067712	0.6265216041038251	0.9853313650510424
mp-brccy	0.9791113960149452	0.658285608640733	0.9911407291227778
mp-brcdf	0.8644843137107051	0.7674976662969221	0.9925592616708596
mp-brcfg	0.6649277074294261	0.7337910105588471	0.961725943778831
mp-brcjs	0.985441977909365	0.494061851856812	0.9619558009666508
mp-brcnm	0.9072603635352552	0.7683971288785021	0.9946661899845042
mp-brcry	0.8146601955249181	0.7972307572047691	0.9914688407240948
mp-brcsu	0.7710007951851481	0.66543131556566	0.9695247404144384
mp-brctc	0.910574604566852	0.724435003810267	0.99229671492882
mp-brcva	0.860154512443953	0.602377906529714	0.9710309408066116
mp-brcxf	0.9530801051106452	0.6420584254819921	0.9878989409123308
mp-brdbj	0.918477699049369	0.5700228524842781	0.9725350144948064
mp-brdfv	0.8812212555057231	0.7440074146108481	0.9919776300974582
mp-brdij	0.8937903744076581	0.636881492417116	0.9818968841349762
mp-brdkh	0.9718427613991832	0.61608048066316	0.9863250940749884
mp-brdkt	0.8701677331788891	0.6593050352122091	0.9826026852020548
mp-brdkw	0.8565028711085261	0.726202713073927	0.9889219167530824
mp-brdla	0.9464501864065732	0.585340641815254	0.979250139978182
mp-brdlb	0.85942733102483	0.634725288232109	0.9774248829078308
