Key	S_bandwidth	S_DOS	S_total
mp-bugq	0.7427100508976361	0.7637306486790081	0.9814529212587336
mp-cpnsa	-1.0	0.780566111225199	0.0
mp-cri	-1.0	0.578845500391803	0.0
mp-bqxkt	0.965464196558468	0.686069952073708	0.9925301590005168
mp-cdjho	-1.0	0.871068302956395	0.0
mp-cdjqt	-1.0	0.715600594226465	0.0
mp-iq	-1.0	0.694688164852106	0.0
mp-leb	-1.0	0.580863750674264	0.0
mp-cdsbi	-1.0	0.607517970135063	0.0
mp-lez	-1.0	0.8917951978222801	0.0
mp-cfkgg	-1.0	0.365304756400105	0.0
mp-bkrcf	0.561627540012759	0.695441766009207	0.9100764266444616
mp-bgjmc	-1.0	0.6056294747064841	0.0
mp-bqxyz	0.399632013682493	0.75629550063807	0.8164732801584804
mp-kqk	-1.0	0.755024712521692	0.0
mp-dlj	-1.0	0.807494590244016	0.0
mp-chgtu	-1.0	0.570893139735508	0.0
mp-cevun	-1.0	0.6189320018036291	0.0
mp-ikc	-1.0	0.8128124594970301	0.0
mp-cjjua	-1.0	0.5290734797192981	0.0
mp-behx	-1.0	0.6913203121753161	0.0
mp-bgkmd	-1.0	0.770310052457407	0.0
mp-crqhp	-1.0	0.640172381765694	0.0
mp-bjcs	-1.0	0.7122123331017881	0.0
mp-cprrn	-1.0	0.476219339922418	0.0
mp-cphwg	-1.0	0.852501918761116	0.0
mp-exp	-1.0	0.638007217360752	0.0
mp-cgiyr	-1.0	0.749556395543806	0.0
mp-cjkpv	-1.0	0.5536749537672391	0.0
mp-cdkiu	-1.0	0.593320412757905	0.0
mp-betn	-1.0	0.475908853242078	0.0
mp-bxfov	-1.0	0.8669645118120021	0.0
mp-braco	-1.0	0.5829185884896441	0.0
mp-bqzmw	-1.0	0.595584350221341	0.0
mp-tzw	0.797271075769856	0.453320787881785	0.885862544163865
mp-ckivc	-1.0	0.798717885774041	0.0
mp-crtzh	-1.0	0.8244071589049311	0.0
mp-cjlxy	-1.0	0.447971669555477	0.0
mp-croxr	-1.0	0.8490728396245991	0.0
mp-bfktk	-1.0	0.8408256503411431	0.0
mp-cpeao	-1.0	0.7677103717219841	0.0
mp-cqqcj	-1.0	0.6340409421224741	0.0
mp-lke	-1.0	0.350675922117847	0.0
mp-btrw	-1.0	0.36221874685492	0.0
mp-btqp	-1.0	0.668494801542979	0.0
mp-crtlv	-1.0	0.6497618139908901	0.0
mp-bthr	-1.0	0.6785450736449731	0.0
mp-bjygs	-1.0	0.857192893351401	0.0
mp-crxzo	-1.0	0.6140617003011051	0.0
mp-chkcb	0.099216507564563	0.621324703768047	0.2856120149827317
mp-cglcv	-1.0	0.6452187464843081	0.0
mp-mub	-1.0	0.8109497162973741	0.0
mp-ckvst	-1.0	0.7138910723166321	0.0
mp-bgym	-1.0	0.655148189790268	0.0
mp-cqpca	-1.0	0.611323922462722	0.0
mp-btwi	0.243229373970914	0.9061026064329232	0.6755029281387795
mp-bfuul	-1.0	0.7030838132343461	0.0
mp-cfakx	-1.0	0.8250909277749541	0.0
mp-braaw	-1.0	0.738197696263946	0.0
