material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-xhd,CaTaAlO5,15,"Ca:2e,Ta:2a,Al:2e,O:2e,O:4f,O:4f"
mp-xhe,KMn4(PO4)3,58,"K:4g,Mn:8h,Mn:4g,Mn:4g,P:4g,P:4g,P:4g,O:4g,O:8h,O:8h,O:8h,O:4g,O:4g,O:4g,O:4g,O:4g"
mp-xhg,Sr3AlO4F,140,"Sr:4h,Sr:2a,Al:2b,O:8l,F:2c"
mp-dlnxt,Ca5Sc2(CoO6)2,1,"Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Sc:1a,Sc:1a,Sc:1a,Sc:1a,Co:1a,Co:1a,Co:1a,Co:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a"
mp-dlnzc,Sr3LaTi2Mn2O12,8,"Sr:2a,Sr:2a,Sr:2a,La:2a,Ti:2a,Ti:2a,Mn:2a,Mn:2a,O:2b,O:2b,O:2a,O:2b,O:2b,O:2a,O:2b,O:2b,O:2b,O:2b,O:2a,O:2a"
mp-dlogf,Na2FeO3,5,"Na:2c,Na:1b,Na:1a,Na:2c,Na:2c,Fe:1b,Fe:1a,Fe:1a,Fe:1b,O:2c,O:2c,O:2c,O:2c,O:2c,O:2c"
mp-xhj,BaZn2(AsO4)2,14,"Ba:4e,Zn:4e,Zn:4e,As:4e,As:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-dloit,Li2VP2O7,2,"Li:4i,Li:4i,V:4i,P:4i,P:4i,O:4i,O:4i,O:4i,O:4i,O:4i,O:4i,O:4i"
mp-xhk,SrZn2(AsO4)2,14,"Sr:4e,Zn:4e,Zn:4e,As:4e,As:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-xhm,Nd2CuO4,64,"Nd:4f,Cu:2a,O:4e,O:4f"
mp-xhn,Sr2CeO4,55,"Sr:4h,Ce:2a,O:4h,O:4g"
mp-dlowa,V2OF5,1,"V:1a,V:1a,V:1a,V:1a,V:1a,V:1a,O:1a,O:1a,O:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a,F:1a"
mp-dlpam,Na3VPCO7,11,"Na:4a,Na:4e,Na:4d,V:4e,P:4e,C:4e,O:4e,O:4e,O:8f,O:4e,O:4e,O:4e"
mp-dlpev,Li2MnO2F,62,"Li:8d,Mn:4c,O:8d,F:4c"
mp-xhq,Zr2Cr30P19,174,"Zr:1b,Zr:1c,Cr:3j,Cr:3j,Cr:3k,Cr:3j,Cr:3k,Cr:3k,Cr:3k,Cr:3j,Cr:3j,Cr:3k,P:1e,P:3k,P:3j,P:3k,P:3j,P:3k,P:3j"
mp-xhs,Sr2CuSi2O7,113,"Sr:4e,Cu:2b,Si:4e,O:8f,O:4e,O:2c"
mp-dlpsg,Na5LiCo2P2(CO7)2,8,"Na:1a,Na:1a,Na:2b,Na:2b,Na:2b,Na:2b,Li:2b,Co:1a,Co:1a,Co:2b,P:2b,P:1a,P:1a,C:1a,C:1a,C:2b,O:2b,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:2b,O:1a,O:1a,O:2b,O:2b,O:2b,O:1a,O:1a,O:2b,O:2b,O:2b,O:2b"
mp-dlpwr,V2OF5,144,"V:3a,V:3a,O:3a,F:3a,F:3a,F:3a,F:3a,F:3a"
mp-cip,CaC2,15,"Ca:2e,C:4f"
mp-xhu,TaAgP4O13,19,"Ta:4a,Ag:4a,P:4a,P:4a,P:4a,P:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a"
mp-xhv,Ba3Y4O9,146,"Ba:1a,Ba:1a,Ba:1a,Y:1a,Y:1a,Y:1a,Y:1a,O:3b,O:3b,O:3b"
mp-dlqhy,Li2FeP2O7,18,"Li:4c,Fe:2a,P:4c,O:2b,O:4c,O:4c,O:4c"
mp-xhx,Ba3(LiAs)4,71,"Ba:2i,Ba:1b,Li:4l,As:2g,As:2j"
mp-dlqtg,K3FePCO7,2,"K:2i,K:2i,K:2i,K:2i,K:2i,K:2i,Fe:2i,Fe:2i,P:2i,P:2i,C:2i,C:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-dlqwr,Li2CoP2O7,1,"Li:1a,Li:1a,Li:1a,Li:1a,Co:1a,Co:1a,P:1a,P:1a,P:1a,P:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a"
mp-dlqww,LiMnBO3,62,"Li:4c,Mn:4c,B:4c,O:4c,O:4c,O:4c"
mp-dlrfg,Li2CoCSO7,2,"Li:2i,Li:2i,Li:2i,Li:2i,Co:2i,Co:2i,C:2i,C:2i,S:2i,S:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-ciq,TmNi2,227,"Tm:16a,Ni:32d"
mp-xif,Ba4Ti12O27,12,"Ba:2i,Ba:2i,Ba:4j,Ti:1a,Ti:1d,Ti:2f,Ti:2h,Ti:2i,Ti:2i,Ti:2i,Ti:4j,Ti:4j,Ti:4j,O:2i,O:2i,O:2i,O:2i,O:2i,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j,O:4j"
mp-dlrwf,MnAl(WO4)2,3,"Mn:1b,Mn:1c,Al:1a,Al:1d,W:2e,W:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e"
mp-dlrxi,NbV3O8,1,"Nb:1a,Nb:1a,V:1a,V:1a,V:1a,V:1a,V:1a,V:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a,O:1a"
mp-dlsez,LiVP2HO8,7,"Li:2a,V:2a,P:2a,P:2a,H:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a"
mp-dlsxk,LiMnP2HO7,2,"Li:2i,Mn:2i,P:2i,P:2i,H:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-dlsyc,Na2CoSiCO7,11,"Na:4f,Na:4f,Co:2e,Co:2e,Si:2e,Si:2e,C:2e,C:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:4f,O:4f"
mp-dltfc,Na3CoBAsO7,8,"Na:1a,Na:1a,Na:2b,Na:2b,Na:2b,Na:2b,Na:2b,Co:2b,Co:1a,Co:1a,B:2b,B:1a,B:1a,As:1a,As:1a,As:2b,O:1a,O:1a,O:2b,O:2b,O:1a,O:1a,O:2b,O:1a,O:1a,O:1a,O:1a,O:2b,O:2b,O:1a,O:1a,O:2b,O:2b,O:2b,O:2b"
mp-dltgs,FeH10S2(NO2)4,2,"Fe:4a,H:8i,H:8i,H:8i,H:8i,H:8i,S:8i,N:8i,N:8i,O:8i,O:8i,O:8i,O:8i"
mp-dltok,CoP2WO8,6,"Co:1a,Co:1b,P:1b,P:1a,P:1a,P:1b,W:1a,W:1b,O:1a,O:1b,O:1b,O:1a,O:1a,O:1b,O:1b,O:1a,O:2c,O:2c,O:2c,O:2c"
mp-dltoq,Na2CoSiCO7,11,"Na:4f,Na:4f,Co:2e,Co:2e,Si:2e,Si:2e,C:2e,C:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:4f,O:4f"
mp-xiu,Zn(GaSe2)2,82,"Zn:1b,Ga:1d,Ga:1a,Se:4g"
mp-xiv,Zn(GaTe2)2,82,"Zn:1a,Ga:1b,Ga:1d,Te:4g"
mp-xiw,MgNiSb,216,"Mg:1b,Ni:1c,Sb:1a"
mp-xix,Mg2SiNi3,166,"Mg:2c,Si:1b,Ni:3e"
mp-cis,V3Rh,223,"V:6c,Rh:2a"
mp-xiy,MgPPt5,123,"Mg:1a,P:1d,Pt:1c,Pt:4i"
mp-xiz,KLaS2,166,"K:1b,La:1a,S:2c"
mp-xja,KPrS2,166,"K:1b,Pr:1a,S:2c"
mp-xjb,KSmS2,166,"K:1b,Sm:1a,S:2c"
mp-xjc,KGdS2,166,"K:1a,Gd:1b,S:2c"
mp-dluxu,MnAl(WO4)2,7,"Mn:2a,Al:2a,W:2a,W:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a"
mp-dluya,LiVOF3,14,"Li:4e,V:4e,O:4e,F:4e,F:4e,F:4e"
mp-xjd,KDyS2,166,"K:1b,Dy:1a,S:2c"
mp-xje,KHoS2,166,"K:1b,Ho:1a,S:2c"
mp-xjg,LiYS2,166,"Li:1b,Y:1a,S:2c"
mp-xjh,LiDyS2,166,"Li:1b,Dy:1a,S:2c"
mp-cit,ErC2,139,"Er:1a,C:2e"
mp-xji,LiHoS2,166,"Li:1b,Ho:1a,S:2c"
mp-dlvxx,Na3CoBPO7,2,"Na:2i,Na:2i,Na:2i,Na:2i,Na:2i,Na:2i,Co:2i,Co:2i,B:2i,B:2i,P:2i,P:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-xjj,LiErS2,166,"Li:1b,Er:1a,S:2c"
mp-xjk,LiGdSe2,166,"Li:1b,Gd:1a,Se:2c"
mp-xjl,LiTbSe2,166,"Li:1b,Tb:1a,Se:2c"
mp-dlwgr,Li2MnP2O7,15,"Li:4f,Mn:2d,P:4f,O:2e,O:4f,O:4f,O:4f"
mp-dlwhe,CrSb(PO4)2,11,"Cr:2e,Sb:2e,P:2e,P:2e,O:2e,O:2e,O:4f,O:4f,O:2e,O:2e"
mp-xjm,LiYSe2,166,"Li:1b,Y:1a,Se:2c"
mp-xjn,LiDySe2,166,"Li:1b,Dy:1a,Se:2c"
mp-dlwqb,Li2FeCSO7,11,"Li:8f,Fe:4e,C:4e,S:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:8f"
mp-dlwql,Na14Fe2O9,2,"Na:2i,Na:2i,Na:2i,Na:2i,Na:2i,Na:2i,Na:2i,Fe:2i,O:1a,O:2i,O:2i,O:2i,O:2i"
mp-xjo,LiHoSe2,166,"Li:1b,Ho:1a,Se:2c"
mp-xjp,LiErSe2,166,"Li:1b,Er:1a,Se:2c"
mp-xjq,MoC,194,"Mo:4f,Mo:2b,C:4f,C:2a"
mp-xjr,NbN,194,"Nb:4f,N:2a,N:2d"
mp-gc,As,64,As:4f
mp-ciu,NbN,225,"Nb:1b,N:1a"
mp-xjs,Ti3PO2,164,"Ti:2d,Ti:1a,P:1b,O:2d"
mp-dlxho,LiVP4(H2O7)2,2,"Li:2i,V:1h,V:1a,P:2i,P:2i,P:2i,P:2i,H:2i,H:2i,H:2i,H:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-xjt,Zr3PO2,164,"Zr:2d,Zr:1a,P:1b,O:2d"
mp-xju,Tm2MgSe4,227,"Tm:4d,Mg:2a,Se:8e"
mp-xjv,Y2MgSe4,227,"Y:4d,Mg:2a,Se:8e"
mp-xjw,Yb2MgSe4,227,"Yb:4c,Mg:2b,Se:8e"
mp-dlxzi,K3CoPCO7,2,"K:2i,K:2i,K:2i,K:2i,K:2i,K:2i,Co:2i,Co:2i,P:2i,P:2i,C:2i,C:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-xjx,Mn3ZnN,221,"Mn:3c,Zn:1a,N:1b"
mp-dlyib,Ca3Co2O7,9,"Ca:2a,Ca:2a,Ca:2a,Co:2a,Co:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a,O:2a"
mp-xkb,Cr2B,140,"Cr:4h,B:2a"
mp-civ,As2O3,14,"As:4e,As:4e,O:4e,O:4e,O:4e"
mp-xke,Mn3Mo3C,227,"Mn:4d,Mn:8e,Mo:12f,C:4c"
mp-xkf,Mn3W3C,227,"Mn:4c,Mn:8e,W:12f,C:4d"
mp-dlzir,AlCr(WO4)2,2,"Al:2i,Cr:2i,W:2i,W:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-dlzsq,LiCoBO3,14,"Li:4e,Co:4e,B:4e,O:4e,O:4e,O:4e"
mp-xkl,Mn3Al9Si,194,"Mn:6h,Al:12k,Al:6h,Si:2a"
mp-ciw,As2O3,14,"As:4e,As:4e,O:4e,O:4e,O:4e"
mp-xkm,LiHoGe,189,"Li:3g,Ho:3f,Ge:2d,Ge:1a"
mp-xkn,LiNdGe,189,"Li:3g,Nd:3f,Ge:2d,Ge:1a"
mp-xko,LiSmGe,189,"Li:3g,Sm:3f,Ge:2d,Ge:1a"
mp-xks,Lu2Co3Si5,15,"Lu:4f,Co:2e,Co:4f,Si:2e,Si:2e,Si:2e,Si:4f"
mp-xkt,Ho2Ge2Os,12,"Ho:2i,Ho:2i,Ge:2i,Ge:2i,Os:2i"
mp-xkz,Zn4P6SN12,217,"Zn:4c,P:6d,S:1a,N:12g"
mp-xld,Nb5Se4,87,"Nb:4h,Nb:1a,Se:4h"
mp-xlf,NdSbPt,186,"Nd:2a,Sb:2b,Pt:2b"
mp-ciy,YbIr2,227,"Yb:2a,Ir:4d"
mp-xlg,BaBPO5,152,"Ba:3a,B:3a,P:3b,O:6c,O:3b,O:6c"
mp-xli,Nb2Co12P7,174,"Nb:1f,Nb:1c,Co:3j,Co:3k,Co:3k,Co:3j,P:1a,P:3k,P:3j"
mp-xlj,Ge9Pd25,147,"Ge:1a,Ge:2d,Ge:6g,Pd:6g,Pd:6g,Pd:2d,Pd:2d,Pd:2c,Pd:1b,Pd:6g"
mp-xlk,TaPO5,129,"Ta:2c,P:2b,O:8i,O:2c"
mp-xll,SrLi4N2,141,"Sr:2a,Li:4e,Li:4e,N:4e"
mp-xlm,Lu5SbPd2,140,"Lu:8l,Lu:2c,Sb:2a,Pd:4h"
mp-ciz,V3Co,223,"V:6c,Co:2a"
mp-xlw,DyRh3C,221,"Dy:1a,Rh:3c,C:1b"
mp-cja,NdSb,225,"Nd:1a,Sb:1b"
mp-xmc,GaMo4CS8,216,"Ga:1a,Mo:4e,C:1c,S:4e,S:4e"
mp-xmf,RbScAsO4F,33,"Rb:4a,Rb:4a,Sc:4a,Sc:4a,As:4a,As:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,F:4a,F:4a"
mp-xmg,SrV3P4O17,19,"Sr:4a,V:4a,V:4a,V:4a,P:4a,P:4a,P:4a,P:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a,O:4a"
mp-xmi,Co4SnSb12,204,"Co:4c,Sn:1a,Sb:12g"
mp-cjc,C11F7,12,"C:4j,C:2i,C:2i,C:2i,C:2i,C:4j,C:4j,C:2i,F:4j,F:4j,F:4j,F:2i"
mp-xmz,Li2US3,12,"Li:1a,Li:1d,Li:2h,U:2g,S:2i,S:4j"
mp-xna,Na2US3,12,"Na:1a,Na:1d,Na:2h,U:2g,S:2i,S:4j"
mp-xnb,Sr2YIrO6,14,"Sr:4e,Y:2c,Ir:2b,O:4e,O:4e,O:4e"
mp-xnc,Ba2YIrO6,225,"Ba:2c,Y:1a,Ir:1b,O:6e"
mp-xnd,Ba2LaIrO6,12,"Ba:2i,La:1b,Ir:1c,O:2i,O:4j"
mp-cjd,TiCr2,194,"Ti:4f,Cr:6h,Cr:2a"
mp-xnj,Cu2SiS3,9,"Cu:2a,Cu:2a,Si:2a,S:2a,S:2a,S:2a"
mp-xnk,Cu2SiSe3,9,"Cu:2a,Cu:2a,Si:2a,Se:2a,Se:2a,Se:2a"
mp-xnl,La4Si2S3O7,141,"La:8g,La:8h,Si:8h,S:8f,S:2a,S:2b,O:8h,O:4e,O:16i"
mp-xnm,Dy2Co3Si5,15,"Dy:4f,Co:4f,Co:2e,Si:2e,Si:2e,Si:2e,Si:4f"
mp-gd,Nd,225,Nd:1a
mp-cje,Be12Cr,139,"Be:4j,Be:4f,Be:4i,Cr:1a"
mp-xno,Sr3Sc2Cu2S2O5,139,"Sr:1b,Sr:2e,Sc:2e,Cu:2d,S:2e,O:1a,O:4g"
mp-xnp,Li2LaTa2O7,139,"Li:2d,La:1a,Ta:2e,O:2e,O:1b,O:4g"
mp-xnq,Li2Ca2Ta3O10,139,"Li:2d,Ca:2e,Ta:2e,Ta:1a,O:4g,O:2e,O:2c,O:2e"
mp-xns,BaGd2ZnO5,62,"Ba:4c,Gd:4c,Gd:4c,Zn:4c,O:4c,O:8d,O:8d"
mp-xnt,Rb2Mo9S11,167,"Rb:4c,Mo:12f,Mo:6e,S:6e,S:12f,S:4c"
mp-cjf,Al4C3,166,"Al:2c,Al:2c,C:2c,C:1a"
mp-xny,Re2SbO6,15,"Re:4f,Sb:2e,O:4f,O:4f,O:4f"
mp-xoh,BeAgPO4,14,"Be:4e,Be:4e,Be:4e,Ag:4e,Ag:4e,Ag:4e,P:4e,P:4e,P:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-cjg,Ag2Te,14,"Ag:4e,Ag:4e,Te:4e"
mp-xok,Gd2ReO5,85,"Gd:8g,Re:2c,Re:2c,O:2a,O:2b,O:8g,O:8g"
mp-xot,NdCrS3,62,"Nd:4c,Cr:4c,S:4c,S:4c,S:4c"
mp-xou,SmCrS3,62,"Sm:4c,Cr:4c,S:4c,S:4c,S:4c"
mp-xpb,SrAl2B2O7,155,"Sr:1a,Al:2c,B:2c,O:6f,O:1b"
mp-cji,Ni2Ge,194,"Ni:2d,Ni:2a,Ge:2c"
mp-xpl,Li(NiGe)6,191,"Li:2c,Li:1b,Ni:12o,Ni:6i,Ge:6j,Ge:6k,Ge:4h,Ge:2e"
mp-cjj,Nb2O5,12,"Nb:2i,O:2i,O:1a,O:2i"
mp-xpm,Li(SiNi)6,191,"Li:2c,Li:1b,Si:2e,Si:4h,Si:6k,Si:6j,Ni:6i,Ni:12o"
mp-xpn,BeF2,152,"Be:3a,F:6c"
mp-xpp,P2Rh,14,"P:4e,P:4e,Rh:4e"
mp-xpq,As2Rh,14,"As:4e,As:4e,Rh:4e"
mp-xpr,Y(BC)2,131,"Y:2e,B:4m,C:4k"
mp-xps,YBC,65,"Y:2i,B:2j,C:2j"
mp-xpt,Sc15C19,128,"Sc:2a,Sc:4e,Sc:16i,Sc:8h,C:2b,C:4e,C:16i,C:8g,C:8h"
mp-xpu,Nb3VS6,182,"Nb:4f,Nb:2a,V:2c,S:12i"
mp-xpw,Li5AlO4,61,"Li:8c,Li:8c,Li:8c,Li:8c,Li:8c,Al:8c,O:8c,O:8c,O:8c,O:8c"
mp-xpz,HfPRu,189,"Hf:3g,P:2c,P:1b,Ru:3f"
mp-xqa,Hf3Sb,82,"Hf:4g,Hf:4g,Hf:4g,Sb:4g"
mp-xqb,Hf5Si3,193,"Hf:6g,Hf:4d,Si:6g"
mp-xqe,Sm(CoSi)2,139,"Sm:1a,Co:2d,Si:2e"
mp-cjl,UO2,225,"U:1b,O:2c"
mp-xqj,Cr2HgS4,227,"Cr:4c,Hg:2b,S:8e"
mp-xqk,Mn(CrS2)2,227,"Mn:2a,Cr:4d,S:8e"
mp-cjm,Na3P,194,"Na:2b,Na:4f,P:2c"
mp-xqt,Ba2NaNb5O15,100,"Ba:4c,Na:2a,Nb:2b,Nb:8d,O:2b,O:8d,O:8d,O:8d,O:4c"
mp-xqv,Zr3(Cu2Ge)2,189,"Zr:3g,Cu:1b,Cu:3f,Ge:2c"
mp-xqw,Hf(CuP)2,164,"Hf:1a,Cu:2d,P:2d"
mp-xqx,Hf3(Cu2Si)2,189,"Hf:3g,Cu:3f,Cu:1b,Si:2c"
mp-xqy,Li2CuSb,216,"Li:1c,Li:1b,Cu:1a,Sb:1d"
mp-cjn,BN,8,"B:1a,B:1a,B:1a,B:1a,N:1a,N:1a,N:1a,N:1a"
mp-xre,Hg(PO3)2,61,"Hg:8c,P:8c,P:8c,O:8c,O:8c,O:8c,O:8c,O:8c,O:8c"
mp-xri,RbV(CuS2)2,40,"Rb:2b,V:2b,Cu:2a,Cu:2b,S:4c,S:2b,S:2b"
mp-xrj,Li3AuS2,72,"Li:4g,Li:2b,Au:2c,S:4j"
mp-ge,B,166,"B:6h,B:6h"
mp-cjo,BaHg11,221,"Ba:3d,Hg:1b,Hg:8g,Hg:12i,Hg:12j"
mp-xrk,Cs5Ti6AgSe27,159,"Cs:6c,Cs:2b,Cs:2b,Ti:6c,Ti:6c,Ag:2a,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c"
mp-xrl,Rb5Ti6AgSe27,159,"Rb:6c,Rb:2b,Rb:2b,Ti:6c,Ti:6c,Ag:2a,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c,Se:6c"
mp-xrm,U2Ta6O19,193,"U:4d,Ta:12k,O:8h,O:6g,O:12k,O:12k"
mp-cjp,TaRu,123,"Ta:1d,Ru:1a"
mp-cjq,SiS2,72,"Si:2a,S:4j"
mp-xsj,Y2(SO4)3,60,"Y:8d,S:4c,S:8d,O:8d,O:8d,O:8d,O:8d,O:8d,O:8d"
mp-cjr,TmGa3,221,"Tm:1a,Ga:3c"
mp-xsp,Sn3N4,227,"Sn:4d,Sn:2a,N:8e"
mp-xsq,Pr2TeO2,139,"Pr:2e,Te:1a,O:2d"
mp-xsr,Sm2TeO2,139,"Sm:2e,Te:1a,O:2d"
mp-xst,Gd2TeO2,139,"Gd:2e,Te:1a,O:2d"
mp-xsu,Tb2TeO2,139,"Tb:2e,Te:1a,O:2d"
mp-xsv,Dy2TeO2,139,"Dy:2e,Te:1a,O:2d"
mp-cjs,Pt3O4,223,"Pt:6d,O:8e"
mp-xtb,Mg(As2Rh3)2,187,"Mg:1a,As:3k,As:1c,Rh:3k,Rh:3j"
mp-xtc,Ca(As2Rh3)2,187,"Ca:1a,As:3k,As:1c,Rh:3k,Rh:3j"
mp-xtd,Sr(As2Rh3)2,187,"Sr:1a,As:3k,As:1c,Rh:3k,Rh:3j"
mp-cjt,Ag3O4,14,"Ag:4e,Ag:2d,O:4e,O:4e"
mp-xtk,Ba(Cu2As)2,166,"Ba:1a,Cu:2c,Cu:2c,As:2c"
mp-xtl,CuSiO3,51,"Cu:2c,Si:2f,O:4j,O:2e"
mp-xtn,KLi3Zr2(Si2O5)6,192,"K:2a,Li:6f,Zr:4c,Si:24m,O:24m,O:24m,O:12l"
mp-xto,Ho2Cu(GeO3)4,2,"Ho:2i,Cu:1a,Ge:2i,Ge:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-xtp,Er2Cu(GeO3)4,2,"Er:2i,Cu:1a,Ge:2i,Ge:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-cju,NbAu2,191,"Nb:1a,Au:2d"
mp-xts,AgAuF4,140,"Ag:2a,Au:2d,F:8l"
mp-xtt,Sr6Sb6S17,19,"Sr:4a,Sr:4a,Sr:4a,Sr:4a,Sr:4a,Sr:4a,Sb:4a,Sb:4a,Sb:4a,Sb:4a,Sb:4a,Sb:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a,S:4a"
mp-cjv,YbCu5,191,"Yb:1a,Cu:2c,Cu:3g"
mp-cjw,ZrHg3,221,"Zr:1a,Hg:3c"
mp-xup,Ce3Co29(Si2B5)2,129,"Ce:4d,Ce:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xuq,Pr3Co29(Si2B5)2,129,"Pr:4d,Pr:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xur,Nd3Co29(Si2B5)2,129,"Nd:4d,Nd:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xus,Sm3Co29(Si2B5)2,129,"Sm:4d,Sm:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xuu,Tb3Co29(Si2B5)2,129,"Tb:4d,Tb:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-cjx,Cr3Ir,223,"Cr:6c,Ir:2a"
mp-xuy,Tm3Co29(Si2B5)2,129,"Tm:4d,Tm:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xuz,Lu3Co29(Si2B5)2,129,"Lu:4d,Lu:2b,Co:16k,Co:8i,Co:8i,Co:8j,Co:8j,Co:8i,Co:2c,Si:8i,B:8j,B:8i,B:2c,B:2c"
mp-xva,Ba6Si25,213,"Ba:8c,Ba:4b,Ba:12d,Si:8c,Si:24e,Si:12d,Si:24e,Si:24e,Si:8c"
mp-xvc,Tl(TeMo)3,176,"Tl:2d,Te:6h,Mo:6h"
mp-xvd,CeSc3(BO3)4,155,"Ce:1a,Sc:3d,B:1b,B:3e,O:3e,O:3e,O:6f"
mp-gf,B,166,"B:6h,B:6h,B:6h,B:6h,B:12i,B:12i,B:6h,B:12i,B:12i,B:6h,B:6h,B:6h,B:6h,B:2c,B:1b"
mp-cjy,TbS,225,"Tb:1b,S:1a"
mp-xvi,ZnAg2P2O7,136,"Zn:4d,Ag:4f,Ag:4g,P:8j,O:16k,O:8j,O:4e"
mp-xvn,Rb3P6N11,213,"Rb:8c,Rb:4a,P:24e,N:8c,N:12d,N:24e"
mp-xvo,Cs3P6N11,213,"Cs:8c,Cs:4a,P:24e,N:8c,N:12d,N:24e"
mp-cjz,SmO,225,"Sm:1a,O:1b"
mp-xvv,Pr2CuO4,64,"Pr:4f,Cu:2a,O:4f,O:4e"
mp-xvw,RbSm2CuSe4,63,"Rb:2c,Sm:4f,Cu:2c,Se:2c,Se:4f,Se:2a"
mp-xvy,RbDy2CuSe4,63,"Rb:2c,Dy:4f,Cu:2c,Se:2c,Se:4f,Se:2a"
mp-xwe,BaPr2MnS5,140,"Ba:2a,Pr:4h,Mn:2b,S:8l,S:2c"
mp-xwg,RbNa2Ge17,227,"Rb:2a,Na:4d,Ge:24g,Ge:8e,Ge:2b"
mp-xwp,Sm3NbS3O4,33,"Sm:4a,Sm:4a,Sm:4a,Nb:4a,S:4a,S:4a,S:4a,O:4a,O:4a,O:4a,O:4a"
mp-xwq,Sr3TaGa3(SiO7)2,150,"Sr:3e,Ta:1a,Ga:3f,Si:2d,O:6g,O:6g,O:2d"
