material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-hammp,Ca6Re2PdN6,148,"Ca:6f,Re:2c,Pd:1a,N:6f"
mp-hammq,Sr6Sn8BiS,87,"Sr:2e,Sr:4h,Sn:8i,Bi:1a,S:1b"
mp-hammr,Cs4TcP4W,23,"Cs:4k,Tc:1c,P:4k,W:1d"
mp-hamms,BeFe(BW)6,12,"Be:1b,Fe:1d,B:2i,B:2i,B:2i,W:2i,W:2i,W:2i"
mp-hammt,Cu2Ni3RhS8,166,"Cu:2c,Ni:3e,Rh:1b,S:6h,S:2c"
mp-hammu,Rb2NaLuAs2,72,"Rb:4j,Na:2a,Lu:2b,As:4j"
mp-hammv,K2BaSrBi2,26,"K:2b,K:2a,Ba:2a,Sr:2b,Bi:2a,Bi:2b"
mp-hammw,SrB2As2O7,155,"Sr:1b,B:2c,As:2c,O:1a,O:6f"
mp-hammx,BaSb12Os3Pt,148,"Ba:1a,Sb:6f,Sb:6f,Os:3d,Pt:1b"
mp-hammy,Rb6ScInAs4,23,"Rb:4k,Rb:1d,Rb:1c,Sc:1b,In:1a,As:4k"
mp-hammz,Lu12Fe2TcAg2,139,"Lu:4h,Lu:8n,Fe:2e,Tc:1a,Ag:2c"
mp-hamna,RbCr3Sb12Ru,148,"Rb:1a,Cr:3d,Sb:6f,Sb:6f,Ru:1b"
mp-hamnb,Zr10Be2(SnBi)3,189,"Zr:4h,Zr:3g,Zr:3f,Be:2e,Sn:3f,Bi:3g"
mp-hamnc,Hf5Zr5Sn6P,8,"Hf:2b,Hf:2b,Hf:1a,Zr:2b,Zr:1a,Zr:2b,Sn:1a,Sn:2b,Sn:1a,Sn:2b,P:1a"
mp-hamnd,K2Lu4Cu4Se9,12,"K:2i,Lu:2i,Lu:2i,Cu:2i,Cu:2i,Se:1a,Se:2i,Se:2i,Se:2i,Se:2i"
mp-hamne,Rb2HfMg3As4,21,"Rb:2k,Hf:1a,Mg:1c,Mg:1b,Mg:1d,As:4l"
mp-hamnf,Zr10AlSi2Sb5,38,"Zr:1b,Zr:2d,Zr:2e,Zr:1a,Zr:4f,Al:1b,Si:2c,Sb:2d,Sb:2e,Sb:1a"
mp-hamng,Cs4ZrSnAs4,23,"Cs:4k,Zr:1d,Sn:1c,As:4k"
mp-hamnh,Sc4Fe2Si3Ge,8,"Sc:1a,Sc:1a,Sc:1a,Sc:1a,Fe:1a,Fe:1a,Si:1a,Si:1a,Si:1a,Ge:1a"
mp-hamni,RbNa(NbCl3)3,2,"Rb:2i,Na:2i,Nb:2i,Nb:2i,Nb:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i"
mp-hamnj,CsTi2CrSe6,146,"Cs:1a,Ti:1a,Ti:1a,Cr:1a,Se:3b,Se:3b"
mp-hamnk,Pd2PtCl6,8,"Pd:2b,Pd:1a,Pd:1a,Pt:2b,Cl:2b,Cl:2b,Cl:2b,Cl:2b,Cl:1a,Cl:1a,Cl:2b"
mp-hamnl,Sr2Cu2P4Pd,72,"Sr:4j,Cu:4g,P:4j,P:4j,Pd:2a"
mp-hamnm,Rb2TiZn3P4,21,"Rb:2k,Ti:1a,Zn:1c,Zn:1b,Zn:1d,P:4l"
mp-hamnn,Ti6PdPtN2,121,"Ti:4i,Ti:2c,Pd:1a,Pt:1b,N:2d"
mp-hamno,Cs16ZrSn3Se16,6,"Cs:2c,Cs:2c,Cs:1b,Cs:1a,Cs:1a,Cs:1b,Cs:2c,Cs:2c,Cs:2c,Cs:2c,Zr:1b,Sn:1a,Sn:1b,Sn:1a,Se:1a,Se:1a,Se:1b,Se:1b,Se:2c,Se:2c,Se:2c,Se:2c,Se:1b,Se:1a,Se:1a,Se:1b"
mp-hamnp,Ba2H6Au,64,"Ba:4d,H:4e,H:4d,H:4f,Au:2a"
mp-hamnq,TcPbCl6,146,"Tc:1a,Pb:1a,Cl:3b,Cl:3b"
mp-hamnr,Ba2GaSiI,186,"Ba:2a,Ba:2a,Ga:2b,Si:2b,I:2b"
mp-hamns,Nb12Al11V2Cu11,6,"Nb:2c,Nb:2c,Nb:2c,Nb:2c,Nb:2c,Nb:2c,Al:1a,Al:2c,Al:2c,Al:1b,Al:1a,Al:1b,Al:1a,Al:1b,Al:1a,V:2c,Cu:1b,Cu:1a,Cu:1b,Cu:1b,Cu:1a,Cu:1a,Cu:1b,Cu:1b,Cu:1a,Cu:1a,Cu:1b"
mp-hamnt,Rb4ScSbCl12,123,"Rb:4i,Sc:1a,Sb:1d,Cl:2g,Cl:2h,Cl:4k,Cl:4j"
mp-hamnu,Zr10Al2(SnSb)3,189,"Zr:3g,Zr:3f,Zr:4h,Al:2e,Sn:3g,Sb:3f"
mp-hamnv,Sc8Si16Mo11W,6,"Sc:2c,Sc:2c,Sc:2c,Sc:2c,Si:1a,Si:1b,Si:1b,Si:1a,Si:1a,Si:1b,Si:1b,Si:1a,Si:2c,Si:2c,Si:2c,Si:2c,Mo:1b,Mo:1b,Mo:1a,Mo:2c,Mo:2c,Mo:2c,Mo:2c,W:1a"
mp-hamnw,Ni2Mo3WC,227,"Ni:8e,Mo:12f,W:4d,C:4c"
mp-hamnx,LiCa3Bi2H,62,"Li:4c,Ca:4c,Ca:4c,Ca:4c,Bi:4c,Bi:4c,H:4c"
mp-hamny,AsAu(SeF)6,13,"As:2a,Au:2f,Se:4g,Se:4g,Se:4g,F:4g,F:4g,F:4g"
mp-hamnz,Lu3Sc5Se12,5,"Lu:1b,Lu:1a,Lu:1a,Sc:1b,Sc:1b,Sc:1a,Sc:1a,Sc:1b,Se:2c,Se:2c,Se:2c,Se:2c,Se:2c,Se:2c"
mp-hamoa,KY(NbBr3)6,146,"K:1a,Y:1a,Nb:3b,Nb:3b,Br:3b,Br:3b,Br:3b,Br:3b,Br:3b,Br:3b"
mp-hamob,CaTa6Cl18,148,"Ca:1a,Ta:6f,Cl:6f,Cl:6f,Cl:6f"
mp-hamoc,Y2Mg(Si3Pd10)2,225,"Y:2c,Mg:1a,Si:6e,Pd:12h,Pd:8f"
mp-hamod,Cd2P6Pd20Pb,216,"Cd:1c,Cd:1b,P:6f,Pd:4e,Pd:4e,Pd:12h,Pb:1d"
mp-hamoe,Rb6Ge2Se6O,14,"Rb:4e,Rb:4e,Rb:4e,Ge:4e,Se:4e,Se:4e,Se:4e,O:2b"
mp-hamof,Lu2Nb(Ni10B3)2,225,"Lu:2c,Nb:1a,Ni:8f,Ni:12h,B:6e"
mp-hamog,Ca2Cd(Si3Pd10)2,225,"Ca:2c,Cd:1a,Si:6e,Pd:8f,Pd:12h"
mp-hamoh,Ti4Re24Sn,217,"Ti:4c,Re:12g,Re:12g,Sn:1a"
mp-hamoi,Ba4NaSb2P,55,"Ba:8h,Ba:8g,Na:4d,Sb:8g,P:4b"
mp-hamoj,Zr6Zn18TeIr5,166,"Zr:6h,Zn:6h,Zn:3d,Zn:2c,Zn:6h,Zn:1a,Te:1b,Ir:2c,Ir:3e"
mp-hamok,Y6Sc4Al12Rh7,216,"Y:6f,Sc:4e,Al:4e,Al:4e,Al:4e,Rh:1b,Rh:6g"
mp-hamol,Al2Zn(Ni10B3)2,225,"Al:2c,Zn:1a,Ni:8f,Ni:12h,B:6e"
mp-hamom,Sc3(TaRe12)2,42,"Sc:2d,Sc:1a,Ta:2c,Re:4e,Re:4e,Re:2c,Re:2d,Re:4e,Re:4e,Re:2c,Re:2d"
mp-hamon,Ti8Al14GeIr7,44,"Ti:4e,Ti:1b,Ti:1b,Ti:2c,Al:2c,Al:2d,Al:2c,Al:2d,Al:2d,Al:2c,Al:2d,Ge:1b,Ir:4e,Ir:1a,Ir:1a,Ir:1b"
mp-hamoo,Sc22OsRuRh6,71,"Sc:2i,Sc:4n,Sc:4l,Sc:4m,Sc:4l,Sc:4m,Os:1c,Ru:1d,Rh:1a,Rh:4k,Rh:1b"
mp-hamop,Ti8Al15PdRh6,1,"Ti:1a,Ti:1a,Ti:1a,Ti:1a,Ti:1a,Ti:1a,Ti:1a,Ti:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Pd:1a,Rh:1a,Rh:1a,Rh:1a,Rh:1a,Rh:1a,Rh:1a"
mp-hamoq,Ba3Ga10SnO20,12,"Ba:1d,Ba:2i,Ga:4j,Ga:4j,Ga:2g,Sn:1c,O:4j,O:4j,O:2i,O:4j,O:2i,O:4j"
mp-hamor,Cs2LuBr5,62,"Cs:4c,Cs:4c,Lu:4c,Br:4c,Br:8d,Br:4c,Br:4a"
mp-hamos,Cs12V3WS16,6,"Cs:2c,Cs:2c,Cs:2c,Cs:2c,Cs:1b,Cs:1a,Cs:1b,Cs:1a,V:1a,V:1b,V:1a,W:1b,S:1b,S:1a,S:1b,S:1a,S:1b,S:1a,S:1b,S:1a,S:2c,S:2c,S:2c,S:2c"
mp-hamot,Hf3Zn3B,227,"Hf:12f,Zn:8e,Zn:4d,B:4c"
mp-hamou,Ti8Al15CrPt6,44,"Ti:4e,Ti:1b,Ti:1b,Ti:2c,Al:1b,Al:2c,Al:2d,Al:2c,Al:2d,Al:2d,Al:2c,Al:2d,Cr:1b,Pt:4e,Pt:1a,Pt:1a"
mp-hamov,AlAs(SeO3)4,14,"Al:2c,As:2b,Se:4e,Se:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-hamow,Rb3Ta(SO)2,14,"Rb:4e,Rb:4e,Rb:4e,Ta:4e,S:4e,S:4e,O:4e,O:4e"
mp-hamox,K3NaI2O9,194,"K:2b,K:4f,Na:2a,I:4f,O:6h,O:12k"
mp-hamoy,Zr6Zn18Pd5C,166,"Zr:6h,Zn:6h,Zn:3d,Zn:2c,Zn:6h,Zn:1a,Pd:2c,Pd:3e,C:1b"
mp-hamoz,Zr6Zn22SnHg,225,"Zr:6e,Zn:8f,Zn:6d,Zn:8f,Sn:1b,Hg:1a"
mp-hampa,Hf5Al16SbIr7,107,"Hf:1a,Hf:4c,Al:4d,Al:4d,Al:4d,Al:4d,Sb:1a,Ir:2b,Ir:4c,Ir:1a"
mp-hampb,Cs3K3(VTe4)2,4,"Cs:2a,Cs:2a,Cs:2a,K:2a,K:2a,K:2a,V:2a,V:2a,Te:2a,Te:2a,Te:2a,Te:2a,Te:2a,Te:2a,Te:2a,Te:2a"
mp-hampc,Bi4OsRuO11,2,"Bi:2i,Bi:2i,Bi:2i,Bi:2i,Os:2i,Ru:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-hampd,Hf5NbAl16Ir7,107,"Hf:1a,Hf:4c,Nb:1a,Al:4d,Al:4d,Al:4d,Al:4d,Ir:1a,Ir:2b,Ir:4c"
mp-hampe,Rb9TaSnAs6,7,"Rb:2a,Rb:2a,Rb:2a,Rb:2a,Rb:2a,Rb:2a,Rb:2a,Rb:2a,Rb:2a,Ta:2a,Sn:2a,As:2a,As:2a,As:2a,As:2a,As:2a,As:2a"
